user_id,status_id,created_at,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count
104146203,1.23292E+18,2/27/20 6:40,Over 500 new coronavirus infections were reported outside China on Wednesday As of Thursday morning South Korea had reported a total of 1 595 cases Italy had reported a total of 474 cases Japan had reported a total of 894 cases Follow live updates ,Twitter Web App,278,NA,NA,NA,FALSE,FALSE,1,2,NA,NA
57314631,1.23292E+18,2/27/20 6:40,we are an island if our government was serious about containing coronavirus there are simple things we could do not at all practical of course but we could do it it is a pity that dollars have more importance than lives ,TweetDeck,226,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
1.0065E+18,1.23292E+18,2/27/20 6:40, GOLD XAUUSD prices resumed their bullish trend early on Thursday over worries about the higher number of new coronavirus cases being reported outside of China Commodities markets trading ,Buffer,216,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
2455299024,1.23292E+18,2/27/20 6:40,Real time live data of COVID19 cases worldwide mapped by John Hopkins University Coronavirus CoronaVirusUpdates ,Twitter for iPhone,139,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
7.54635E+17,1.23292E+18,2/27/20 6:40, Jose43184412 Jose you belongs to US but coronavirus are not control they should try but our nation are brackout his pillars like selling 70 per mask box into 1000 per mask box what rabish is this ,Twitter for Android,185,1.23291E+18,1.22305E+18,Jose43184412,FALSE,FALSE,0,0,NA,NA
1.0697E+18,1.23292E+18,2/27/20 6:40,Will Iraq stop incoming occupation forces from Europe and America with coronavirus also now from entry as it stopped and closed borders with Iran ,Twitter Web App,151,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
1313607936,1.23292E+18,2/27/20 6:40, SouthKorea has 334 new coronavirus cases total national infections now 1 595 A 74-year-old virus patient tied to the Daegu religious sect died of respiratory failure earlier Thursday bringing the nation's death toll to 13 COVID19 ,Twitter Web App,263,1.23261E+18,1313607936,putuliza,FALSE,FALSE,0,0,NA,NA
1313607936,1.23292E+18,2/27/20 6:31, WHO icao Navy quarantines 188 Indonesian World Dream crew members in an uninhabited island Sebaru Isl off Jakarta Good job Navy Now let's make sure we understand the possibility of coronavirus asymptomatic cases hence health checks for everyone COVID19 ,Twitter Web App,280,1.23285E+18,1313607936,putuliza,FALSE,FALSE,0,0,NA,NA
376047382,1.23292E+18,2/27/20 6:40, Home alone CoronavirusOutbreak coronavirus PS I refuse to buy a face mask But I stay crazy with my hand washing regime and gave up snogging strange women amp men ,Twitter for iPhone,183,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
7.24881E+17,1.23292E+18,2/27/20 6:40,May Allah keep everyone safe Aameen OryaMaqboolJan WaseemBadami NESTLEEVERYDAY ArsalanGhumman usconsulatekhi iamkhiofficial BBhuttoZardari SummitBank PK Epidemic PakistanRetaliationDay Karachi coronavirus pakistan virus SafetyFirst,Twitter Web App,250,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
252751061,1.23292E+18,2/27/20 6:40, This is our community telling people outside to go home This Wuhan resident shows how he's coping in China's coronavirus epicenter CoronavirusOutbreak ,SocialFlow,163,NA,NA,NA,FALSE,FALSE,5,7,NA,NA
4896259756,1.23292E+18,2/27/20 6:40, We're all f ked coronavirus ,Twitter for Android,58,NA,NA,NA,TRUE,FALSE,0,0,NA,NA
1.2181E+18,1.23292E+18,2/27/20 6:40,Saudi Arabia suspends entry for Umrah pilgrimage due to coronavirus,Mobile Web (M2),68,NA,NA,NA,FALSE,FALSE,1,0,NA,NA
117356282,1.23292E+18,2/27/20 6:40,Two of Bahrain's largest public hospitals have set up screening areas to prevent the spread of the Novel Coronavirus Covid-19 as the number of confirmed cases has increased to 33 Bahrain Coronavirus CoronavirusOutbreak ,TweetDeck,250,NA,NA,NA,FALSE,FALSE,0,0,NA,NA
